afro	hair	lot	pik	curls	perm
airplane	fly	travel	delta	united	airline
airport	travel	plane	transportation	bus	train
alcohol	liquor	beer	drink	inebriated	liquid
al	gore	tipper	vice	president	clinton	tennesee	candidate
allergy	sneeze	cough	pollen	spring	season
alphabet	letters	26	vowels	spell	song
always	sometimes	never	eternity	end	forever
american	citizen	country	usa	canada	states
anatomy	body	parts	bones	organs	medical
ancient	old	era	age	modern	history
anecdote	story	fun	orate	lines	interview
annoying	painful	words	repeat	kids	time
applause	cheer	crowd	clap	audience	stand
apple	computer	steve	jobs	fruit	orange	red
application	accept	denied	admit	college	school
appraisal	value	real	estate	finance	taxes	worth
architect	create	build	house	home	construct
argument	fight	anger	yell	quarrel	couple
arrow	bow	cupid	love	shoot	target
artifact	stone	ancient	ground	bones	museum
atlas	maps	world	country	earth	globe
at	least	minimum	requirement	most	bare	time
attic	upstairs	storage	house	home	finish
attorney	lawyer	law	represent	right	protect
auction	ebay	gavel	sold	bid	antiques
aunt	sister	father	mother	sibling	parent
author	book	write	pen	name	mark	twain
authority	police	cops	government	charge	fight
avalanche	snow	mountains	falling	skiing	winter
axe	cut	wood	tree	forest	lumber
back	to	the	future	michael	j.	fox	movie	film	lloyd	time	travel
badge	cops	law	rules	ticket	police
banana	monkey	slip	yellow	peel	fruit
barbecue	grill	outdoor	backyard	weber	meat
basement	downstairs	storage	house	home	finish
bathroom	toilet	sink	wash	shower	clean
battery	remote	control	plug	triple_a	power
begin	start	finish	before	after	end
best	man	wedding	marriage	maid	honor	speech	groomsmen
bicycle	wheels	ride	transportation	pedal	handlebar
bill	gates	microsoft	wealthy	rich	famous	charity
billionaire	bill	gates	money	cash	warren	buffett	loot
billy	joel	piano	man	musician	singer	blind	fire
binder	keep	papers	folder	store	school
birth	date	pregnant	hospital	nine	months	place
birthday	cake	party	candles	year	surprise
bishop	chess	piece	rook	king	diagnol
blackberry	e-mail	phone	travel	computer	time
blanket	soft	sleep	bed	cover	throw
blush	red	make-up	face	embarrased	cheeks
book	author	story	novel	read	cover
book	read	phone	pages	cover	story
born	pregnant	hospital	nine	months	time	date
bow	and	arrow	practice	cupid	love	shoot	target
bowl	eat	cereal	spoon	pins	ball
